Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*
1/10/2023;TUBERCULOS, RAICES Y PLATANOS;Plátano hartón maduro;Armenia, Mercar;1.564
1/12/2023;VERDURAS Y HORTALIZAS;Ahuyama;Palmira (Valle del Cauca);1.564
1/12/2023;FRUTAS;Papaya tainung;Medellín, Central Mayorista de Antioquia;1.564
1/12/2023;TUBERCULOS, RAICES Y PLATANOS;Papa parda pastusa;Chiquinquirá (Boyacá);1.564
1/12/2023;TUBERCULOS, RAICES Y PLATANOS;Papa superior;Chiquinquirá (Boyacá);1.564
1/01/2023;VERDURAS Y HORTALIZAS;Ahuyama;Yopal (Casanare);1.563
1/02/2023;FRUTAS;Banano criollo;Popayán, Plaza de mercado del barrio Bolívar;1.563
1/03/2023;VERDURAS Y HORTALIZAS;Lechuga Batavia;Rionegro (Antioquia);1.563
1/04/2023;TUBERCULOS, RAICES Y PLATANOS;Papa parda pastusa;Yopal (Casanare);1.563
1/07/2023;FRUTAS;Piña perolera;Montería, Mercado del Sur;1.563
1/08/2023;FRUTAS;Naranja Valencia;Valledupar, Mercabastos;1.563
1/07/2023;VERDURAS Y HORTALIZAS;Apio;Barranquilla, Granabastos;1.562
1/09/2023;VERDURAS Y HORTALIZAS;Repollo blanco;La Ceja (Antioquia);1.562
1/10/2023;VERDURAS Y HORTALIZAS;Pepino de rellenar;Villavicencio, CAV;1.562
1/10/2023;VERDURAS Y HORTALIZAS;Remolacha;Montería, Mercado del Sur;1.562
1/01/2023;FRUTAS;Guayaba pera;Duitama (Boyacá), Mercaplaza;1.561
1/03/2023;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Villavicencio, CAV;1.561
1/04/2023;TUBERCULOS, RAICES Y PLATANOS;Papa rubí;Pereira, Mercasa;1.561
1/05/2023;FRUTAS;Papaya Paulina;"Medellín, Plaza Minorista ""José María Villa""";1.561
1/09/2023;FRUTAS;Papaya Paulina;Bogotá, D.C., Corabastos;1.561
1/11/2023;VERDURAS Y HORTALIZAS;Zanahoria;Valledupar, Mercabastos;1.561
1/12/2023;VERDURAS Y HORTALIZAS;Chócolo mazorca;Ibagué, Plaza La 21;1.561
1/01/2023;FRUTAS;Naranja común;Cartagena, Bazurto;1.560
1/01/2023;FRUTAS;Naranja Valencia;Bucaramanga, Mercados del centro;1.560
1/02/2023;VERDURAS Y HORTALIZAS;Coles;Medellín, Central Mayorista de Antioquia;1.560
1/02/2023;FRUTAS;Naranja común;Montería, Mercado del Sur;1.560
1/03/2023;VERDURAS Y HORTALIZAS;Pepino cohombro;Socorro (Santander);1.560
1/04/2023;FRUTAS;Banano bocadillo;Medellín, Central Mayorista de Antioquia;1.560
1/06/2023;VERDURAS Y HORTALIZAS;Pepino cohombro;Duitama (Boyacá), Mercaplaza;1.560
1/06/2023;VERDURAS Y HORTALIZAS;Repollo morado;Bogotá, D.C., Corabastos;1.560
1/07/2023;FRUTAS;Limón común;Bogotá, D.C., Corabastos;1.560
1/07/2023;TUBERCULOS, RAICES Y PLATANOS;Yuca ICA;Armenia, Mercar;1.560
1/08/2023;FRUTAS;Limón mandarino;Pereira, La 41;1.560
1/09/2023;TUBERCULOS, RAICES Y PLATANOS;Papa capira;Marinilla (Antioquia);1.560
1/11/2023;FRUTAS;Limón común;Bucaramanga, Mercados del centro;1.560
1/05/2023;TUBERCULOS, RAICES Y PLATANOS;Papa parda pastusa;Chiquinquirá (Boyacá);1.559
1/05/2023;TUBERCULOS, RAICES Y PLATANOS;Papa superior;Chiquinquirá (Boyacá);1.559
1/07/2023;VERDURAS Y HORTALIZAS;Cidra;Bogotá, D.C., Corabastos;1.559
1/02/2023;VERDURAS Y HORTALIZAS;Ahuyama;Cartago (Valle del Cauca);1.558
1/02/2023;VERDURAS Y HORTALIZAS;Ahuyama;Valledupar, Mercabastos;1.558
1/04/2023;FRUTAS;Naranja Sweet;Pasto, El Potrerillo;1.558
1/06/2023;FRUTAS;Banano criollo;Popayán, Plaza de mercado del barrio Bolívar;1.558
1/07/2023;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca;Pamplona (Norte de Santander);1.558
1/07/2023;TUBERCULOS, RAICES Y PLATANOS;Yuca criolla;Montería, Mercado del Sur;1.558
1/07/2023;TUBERCULOS, RAICES Y PLATANOS;Yuca ICA;Pereira, La 41;1.558
1/08/2023;FRUTAS;Patilla;Montería, Mercado del Sur;1.558
1/08/2023;TUBERCULOS, RAICES Y PLATANOS;Plátano hartón verde;Santa Bárbara (Antioquia);1.558
1/11/2023;VERDURAS Y HORTALIZAS;Rábano rojo;Bogotá, D.C., Corabastos;1.558
1/11/2023;VERDURAS Y HORTALIZAS;Tomate riñón;Ipiales (Nariño), Ipiales somos todos;1.558
1/11/2023;FRUTAS;Papaya Maradol;Cali, Cavasa;1.558
1/11/2023;TUBERCULOS, RAICES Y PLATANOS;Yuca criolla;"Medellín, Plaza Minorista ""José María Villa""";1.558
1/02/2023;VERDURAS Y HORTALIZAS;Apio;Sincelejo, Nuevo Mercado;1.557
1/03/2023;FRUTAS;Naranja Valencia;Ipiales (Nariño), Ipiales somos todos;1.557
1/05/2023;VERDURAS Y HORTALIZAS;Zanahoria;Pasto, El Potrerillo;1.557
1/12/2023;TUBERCULOS, RAICES Y PLATANOS;Papa única;Barranquilla, Granabastos;1.557
1/03/2023;VERDURAS Y HORTALIZAS;Apio;Cali, Santa Elena;1.556
